id,genres,keywords,name,platforms,slug,summary,total_rating,total_rating_count,game_type,game_status,cover_url
26492,"['Puzzle', 'Indie']","[101, 1158, 1293, 1494, 1495, 4004, 4138]",Zup! 2,[6],zup-2,Minimal physical puzzle with explosions,45.3524439813559,10,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co435t.jpg
26197,['Fighting'],"[3, 61, 164, 175, 226, 575, 1075, 1097, 1231, 1834, 2071, 2387, 3540, 4154, 4162, 4266, 4271, 4310, 4353, 4356, 4357, 4392, 4477, 4768, 4804, 4805, 4807, 4869, 4890, 5911, 6653, 12087, 12556, 16840, 39021]",Marvel vs. Capcom: Infinite,"[48, 6, 49]",marvel-vs-capcom-infinite,"Marvel vs. Capcom: Infinite will feature a variety of exciting and accessible single player modes and rich multi-player content for new players and longtime fans alike. In addition to single player Arcade, Training and Mission modes, a visually stunning and immersive cinematic Story Mode will put players at the center of both universes as they battle for survival against a sinister new threat. Marvel vs. Capcom: Infinite is being built to highlight a combination of iconic locations and fan favorite characters from both universes, including Captain Marvel and Iron Man from the Marvel side, and Ryu and Mega Man X from Capcom.",71.00509551051408,70,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqa.jpg
55590,"['Simulator', 'Strategy', 'Indie']",[994],Mashinky,[6],mashinky,Mashinky is a transport strategy game about trains. The goal is to create your own transport empire on a procedurally generated map. It’s a unique blend of realistic graphics combined with an isometric construction mode and board game-like rules.,89.39284330050312,17,0,4.0,https://images.igdb.com/igdb/image/upload/t_cover_big/coa9ak.jpg
36798,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']","[416, 577, 1208, 4134, 4154, 17292]",The Swords of Ditto,"[48, 3, 34, 6, 39, 14, 130]",the-swords-of-ditto,"""The Swords of Ditto is a compact action RPG that creates a unique adventure for each new hero of legend in the relentless fight against the evil Mormo. Explore a delightful but dangerous overworld, brave menacing dungeons, and improve your hero in a charming village, during your quest to overcome the evil that plagues the island. Unleash the mystical Sword of Ditto and grab a co-op friend for an unforgettable adventure filled with delightful characters, extraordinary loot, and heroic battles!""",70.43184025748806,25,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co27bh.jpg
50531,"['Shooter', 'Simulator', 'Tactical', 'Indie']",,BattleBit Remastered,[6],battlebit-remastered,"BattleBit Remastered is a low-poly, massive multiplayer FPS, supporting 254 players per server. Battle on a near-fully destructible map with various vehicles!",70.1633287472145,47,0,4.0,https://images.igdb.com/igdb/image/upload/t_cover_big/co6m2s.jpg
2772,"['Platform', 'Racing', 'Adventure']","[274, 280, 960, 977, 997, 1186, 1422, 1440, 1563, 2387, 3486, 3560, 3831, 4031, 4142, 4162, 4239, 4287, 4345, 4359, 4438, 4523, 4709, 4790, 4891, 4928, 5164, 5441, 5587, 5722, 5782, 6494, 10046]",SpongeBob SquarePants: Creature From the Krusty Krab,"[21, 8]",spongebob-squarepants-creature-from-the-krusty-krab,"Bikini Bottom will never be the same!

Join SpongeBob, Patrick, and Plankton in their journey through various dreams and nightmares.",67.072604224238,24,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co8091.jpg
24512,"['Simulator', 'Strategy', 'Indie']",,Ostriv,[6],ostriv,"Ostriv is a city-building game that puts you in a role of a governor of an 18th century Ukrainian town to challenge your creative skills and management abilities. 
 
Ostriv aims to raise the bar of city-building experience by adding a huge amount of possibilities and removing annoying limitations. It allows for truly organic town layouts without the grid and angle restrictions on a three-dimensional landscape. The goal is to make player's creations to become alive and believable communities where real-life problems would arise, thus making the late game a new challenge rather than a repetitive chore.",86.40859891641745,14,0,4.0,https://images.igdb.com/igdb/image/upload/t_cover_big/co20pt.jpg
4118,"[""Hack and slash/Beat 'em up"", 'Adventure']","[1033, 2387, 2841, 3540, 4142, 4266, 4877, 6089, 6711, 6852, 6870, 7348, 9529]",Spider-Man 2: Enter Electro,[7],spider-man-2-enter-electro,"Spider-Man 2: Enter Electro is an action-adventure video game developed by Vicarious Visions and published by Activision for the PlayStation in 2001. It is the sequel to Neversoft's Spider-Man title, which was released the previous year. The game follows Spider-Man as he attempts to stop another old nemesis Electro from obtaining a source of power known as the Bio-Nexus Device. Game bosses include Shocker, Hammerhead, Lizard, Sandman and the exclusive charged-up Hyper-Electro.",56.98390837298338,95,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lab.jpg
6231,"['Platform', 'Adventure']","[78, 103, 170, 839, 957, 1033, 1186, 2184, 4297, 4578, 4711, 4918, 5345, 25890, 28728]",Sonic the Hedgehog,"[9, 12]",sonic-the-hedgehog-473de878-5a9f-402e-a282-86a7460fc1d2,"The game shares its name with two earlier Sonic games, a manga, a television series, a comic book series, and their eponymous main character. To disambiguate, the game has been referred to as Sonic 2006. It was produced in commemoration of the 15th anniversary of the Sonic the Hedgehog series. The game faced multiple issues during development, which resulted in rushing the product despite existing bugs. Both versions were heavily criticized for long loading times, poor camera system, gameplay glitches, complicated plot and sloppy character control.

The game faced development issues which resulted the product being rushed and ultimately a poor product being delivered. Upon release, it was widely criticized for its numerous gameplay glitches, long loading times and complicated plot.",27.59600458998667,121,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zve.jpg
4050,"['Real Time Strategy (RTS)', 'Strategy', 'Pinball']","[683, 934, 5188, 5190, 5808, 15488]",Odama,[21],odama,"Odama (大玉 Ōdama, lit. ""Great Ball"") is a video game for the GameCube developed by Vivarium and published by Nintendo in 2006. The game was produced and designed by Seaman creator, Yutaka Saito.

Odama blends tactical wargaming with pinball gameplay. The game takes place in a feudal Japan setting. The main character is a young general named Yamanouchi Kagetora, who is intent on avenging his father's death by reviving the most ingenious weapon ever to hit the medieval battlefield: the Odama. The Odama is a gigantic ball powerful enough to destroy whatever it strikes, friend or foe. Using giant flippers, players aim the Odama to bowl over enemies, shatter their defenses and wreak havoc on the battlefield. With the Nintendo GameCube Microphone, players direct their soldiers out of the Odama's way and into the fray by charging the enemy, defending positions and seizing the enemy gates.",64.5,3,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1pe0.jpg
